tool1,tool2,delta_IC,delta_FlipScore,delta_MeanPairwiseID,delta_Mismatch,delta_Match,label
mafft,clustal,0.142164,0.06611,-0.031487000000000015,-0.030426999999999996,-0.056251999999999996,0
mafft,tcoffee,0.5740149999999999,0.11648199999999997,-0.13438500000000003,-0.136583,-0.189648,1
mafft,muscle,-0.183934,0.161231,0.011399999999999993,0.024900000000000005,0.012971999999999984,1
clustal,mafft,-0.142164,-0.06611,0.031487000000000015,0.030426999999999996,0.056251999999999996,1
clustal,tcoffee,0.431851,0.05037199999999997,-0.10289800000000002,-0.106156,-0.13339600000000001,1
clustal,muscle,-0.326098,0.09512100000000001,0.04288700000000001,0.055327,0.06922399999999998,1
tcoffee,mafft,-0.5740149999999999,-0.11648199999999997,0.13438500000000003,0.136583,0.189648,0
tcoffee,clustal,-0.431851,-0.05037199999999997,0.10289800000000002,0.106156,0.13339600000000001,0
tcoffee,muscle,-0.757949,0.04474900000000004,0.14578500000000003,0.161483,0.20262,1
muscle,mafft,0.183934,-0.161231,-0.011399999999999993,-0.024900000000000005,-0.012971999999999984,0
muscle,clustal,0.326098,-0.09512100000000001,-0.04288700000000001,-0.055327,-0.06922399999999998,0
muscle,tcoffee,0.757949,-0.04474900000000004,-0.14578500000000003,-0.161483,-0.20262,0
mafft,clustal,0.06990299999999999,0.04909600000000003,-0.025847999999999982,-0.011539999999999995,-0.03794900000000001,0
mafft,tcoffee,0.264471,0.054420000000000024,-0.08684200000000003,-0.05387800000000001,-0.10713600000000001,1
mafft,muscle,0.262271,0.06465200000000004,-0.08438699999999999,-0.05696799999999999,-0.105379,1
clustal,mafft,-0.06990299999999999,-0.04909600000000003,0.025847999999999982,0.011539999999999995,0.03794900000000001,1
clustal,tcoffee,0.194568,0.005323999999999995,-0.06099400000000005,-0.042338000000000015,-0.069187,1
clustal,muscle,0.19236799999999998,0.015556000000000014,-0.05853900000000001,-0.045427999999999996,-0.06742999999999999,1
tcoffee,mafft,-0.264471,-0.054420000000000024,0.08684200000000003,0.05387800000000001,0.10713600000000001,0
tcoffee,clustal,-0.194568,-0.005323999999999995,0.06099400000000005,0.042338000000000015,0.069187,0
tcoffee,muscle,-0.0021999999999999936,0.010232000000000019,0.0024550000000000405,-0.0030899999999999817,0.0017570000000000086,1
muscle,mafft,-0.262271,-0.06465200000000004,0.08438699999999999,0.05696799999999999,0.105379,0
muscle,clustal,-0.19236799999999998,-0.015556000000000014,0.05853900000000001,0.045427999999999996,0.06742999999999999,0
muscle,tcoffee,0.0021999999999999936,-0.010232000000000019,-0.0024550000000000405,0.0030899999999999817,-0.0017570000000000086,0
mafft,clustal,0.024167999999999995,0.015508000000000077,-0.0016590000000000216,-0.0014850000000000002,-0.01945600000000003,1
mafft,tcoffee,0.151285,0.05526300000000006,-0.08823200000000003,-0.016952999999999996,-0.098993,1
mafft,muscle,0.168064,0.03769699999999998,-0.08818300000000001,-0.024819000000000008,-0.101551,1
clustal,mafft,-0.024167999999999995,-0.015508000000000077,0.0016590000000000216,0.0014850000000000002,0.01945600000000003,0
clustal,tcoffee,0.127117,0.039754999999999985,-0.08657300000000001,-0.015467999999999996,-0.07953699999999997,0
clustal,muscle,0.14389600000000002,0.022188999999999903,-0.08652399999999999,-0.023334000000000008,-0.08209499999999997,1
tcoffee,mafft,-0.151285,-0.05526300000000006,0.08823200000000003,0.016952999999999996,0.098993,0
tcoffee,clustal,-0.127117,-0.039754999999999985,0.08657300000000001,0.015467999999999996,0.07953699999999997,1
tcoffee,muscle,0.016779000000000002,-0.01756600000000008,4.900000000002125e-05,-0.007866000000000012,-0.0025580000000000047,1
muscle,mafft,-0.168064,-0.03769699999999998,0.08818300000000001,0.024819000000000008,0.101551,0
muscle,clustal,-0.14389600000000002,-0.022188999999999903,0.08652399999999999,0.023334000000000008,0.08209499999999997,0
muscle,tcoffee,-0.016779000000000002,0.01756600000000008,-4.900000000002125e-05,0.007866000000000012,0.0025580000000000047,0
mafft,clustal,0.058896000000000004,0.014583000000000013,-0.03010400000000002,-0.0072329999999999894,-0.03846499999999997,1
mafft,tcoffee,0.076236,-0.026510000000000034,-0.03768199999999999,-0.01349800000000001,-0.041949000000000014,0
mafft,muscle,0.05934500000000001,-0.021418999999999966,-0.04222899999999996,-0.007942000000000005,-0.04750399999999999,1
clustal,mafft,-0.058896000000000004,-0.014583000000000013,0.03010400000000002,0.0072329999999999894,0.03846499999999997,0
clustal,tcoffee,0.017339999999999994,-0.041093000000000046,-0.007577999999999974,-0.0062650000000000206,-0.0034840000000000426,0
clustal,muscle,0.00044900000000000495,-0.03600199999999998,-0.012124999999999941,-0.0007090000000000152,-0.00903900000000002,1
tcoffee,mafft,-0.076236,0.026510000000000034,0.03768199999999999,0.01349800000000001,0.041949000000000014,1
tcoffee,clustal,-0.017339999999999994,0.041093000000000046,0.007577999999999974,0.0062650000000000206,0.0034840000000000426,1
tcoffee,muscle,-0.01689099999999999,0.005091000000000068,-0.004546999999999968,0.005556000000000005,-0.005554999999999977,1
muscle,mafft,-0.05934500000000001,0.021418999999999966,0.04222899999999996,0.007942000000000005,0.04750399999999999,0
muscle,clustal,-0.00044900000000000495,0.03600199999999998,0.012124999999999941,0.0007090000000000152,0.00903900000000002,0
muscle,tcoffee,0.01689099999999999,-0.005091000000000068,0.004546999999999968,-0.005556000000000005,0.005554999999999977,0
mafft,clustal,-0.053592,-0.03141800000000006,0.050348000000000004,0.07294699999999998,0.0446740000000001,1
mafft,tcoffee,0.0016309999999999936,-0.010213000000000028,0.00011900000000003574,-0.0012500000000000289,0.0012500000000000844,1
mafft,muscle,-0.02119399999999999,0.03844599999999998,0.020304000000000044,0.013382999999999978,0.02358300000000002,1
clustal,mafft,0.053592,0.03141800000000006,-0.050348000000000004,-0.07294699999999998,-0.0446740000000001,0
clustal,tcoffee,0.055222999999999994,0.02120500000000003,-0.05022899999999997,-0.07419700000000001,-0.04342400000000002,0
clustal,muscle,0.03239800000000001,0.06986400000000004,-0.03004399999999996,-0.059564000000000006,-0.021091000000000082,1
tcoffee,mafft,-0.0016309999999999936,0.010213000000000028,-0.00011900000000003574,0.0012500000000000289,-0.0012500000000000844,0
tcoffee,clustal,-0.055222999999999994,-0.02120500000000003,0.05022899999999997,0.07419700000000001,0.04342400000000002,1
tcoffee,muscle,-0.022824999999999984,0.04865900000000001,0.02018500000000001,0.014633000000000007,0.022332999999999936,1
muscle,mafft,0.02119399999999999,-0.03844599999999998,-0.020304000000000044,-0.013382999999999978,-0.02358300000000002,0
muscle,clustal,-0.03239800000000001,-0.06986400000000004,0.03004399999999996,0.059564000000000006,0.021091000000000082,0
muscle,tcoffee,0.022824999999999984,-0.04865900000000001,-0.02018500000000001,-0.014633000000000007,-0.022332999999999936,0
mafft,clustal,-0.08929399999999998,0.01489600000000002,0.01434000000000002,0.03414599999999998,0.005715999999999943,0
mafft,tcoffee,-0.023390999999999995,-0.0068070000000000075,-0.004498000000000002,0.004723000000000005,-0.004723000000000033,0
mafft,muscle,-0.11178300000000002,0.03614700000000004,0.009530999999999956,0.043709,0.011175999999999964,1
clustal,mafft,0.08929399999999998,-0.01489600000000002,-0.01434000000000002,-0.03414599999999998,-0.005715999999999943,1
clustal,tcoffee,0.06590299999999999,-0.021703000000000028,-0.01883800000000002,-0.029422999999999977,-0.010438999999999976,0
clustal,muscle,-0.022489000000000037,0.02125100000000002,-0.004809000000000063,0.009563000000000016,0.00546000000000002,1
tcoffee,mafft,0.023390999999999995,0.0068070000000000075,0.004498000000000002,-0.004723000000000005,0.004723000000000033,1
tcoffee,clustal,-0.06590299999999999,0.021703000000000028,0.01883800000000002,0.029422999999999977,0.010438999999999976,1
tcoffee,muscle,-0.08839200000000003,0.04295400000000005,0.014028999999999958,0.03898599999999999,0.015898999999999996,1
muscle,mafft,0.11178300000000002,-0.03614700000000004,-0.009530999999999956,-0.043709,-0.011175999999999964,0
muscle,clustal,0.022489000000000037,-0.02125100000000002,0.004809000000000063,-0.009563000000000016,-0.00546000000000002,0
muscle,tcoffee,0.08839200000000003,-0.04295400000000005,-0.014028999999999958,-0.03898599999999999,-0.015898999999999996,0
mafft,clustal,0.0,0.0,0.0,0.0,0.0,0
mafft,tcoffee,0.0,0.0,0.0,0.0,0.0,1
mafft,muscle,0.0,0.0016809999999999325,0.0,0.0,0.0,1
clustal,mafft,0.0,0.0,0.0,0.0,0.0,0
clustal,tcoffee,0.0,0.0,0.0,0.0,0.0,1
clustal,muscle,0.0,0.0016809999999999325,0.0,0.0,0.0,1
tcoffee,mafft,0.0,0.0,0.0,0.0,0.0,0
tcoffee,clustal,0.0,0.0,0.0,0.0,0.0,0
tcoffee,muscle,0.0,0.0016809999999999325,0.0,0.0,0.0,1
muscle,mafft,0.0,-0.0016809999999999325,0.0,0.0,0.0,0
muscle,clustal,0.0,-0.0016809999999999325,0.0,0.0,0.0,0
muscle,tcoffee,0.0,-0.0016809999999999325,0.0,0.0,0.0,0
mafft,clustal,0.02443400000000001,-0.007315999999999989,-0.028978999999999977,-0.0068100000000000105,-0.039609000000000005,1
mafft,tcoffee,0.09905599999999998,-0.029521999999999937,-0.07145200000000007,-0.018541000000000002,-0.08401999999999998,1
mafft,muscle,0.09231499999999998,-0.01812999999999998,-0.06476899999999997,-0.020867000000000024,-0.07505400000000007,1
clustal,mafft,-0.02443400000000001,0.007315999999999989,0.028978999999999977,0.0068100000000000105,0.039609000000000005,0
clustal,tcoffee,0.07462199999999997,-0.022205999999999948,-0.042473000000000094,-0.011730999999999991,-0.04441099999999998,0
clustal,muscle,0.06788099999999997,-0.01081399999999999,-0.03578999999999999,-0.014057000000000014,-0.03544500000000006,1
tcoffee,mafft,-0.09905599999999998,0.029521999999999937,0.07145200000000007,0.018541000000000002,0.08401999999999998,0
tcoffee,clustal,-0.07462199999999997,0.022205999999999948,0.042473000000000094,0.011730999999999991,0.04441099999999998,1
tcoffee,muscle,-0.006740999999999997,0.011391999999999958,0.0066830000000001055,-0.0023260000000000225,0.008965999999999918,1
muscle,mafft,-0.09231499999999998,0.01812999999999998,0.06476899999999997,0.020867000000000024,0.07505400000000007,0
muscle,clustal,-0.06788099999999997,0.01081399999999999,0.03578999999999999,0.014057000000000014,0.03544500000000006,0
muscle,tcoffee,0.006740999999999997,-0.011391999999999958,-0.0066830000000001055,0.0023260000000000225,-0.008965999999999918,0
mafft,clustal,-0.03583399999999992,0.014029999999999987,-0.007603000000000026,0.016409000000000007,-0.004705999999999988,1
mafft,tcoffee,-0.019630999999999954,-0.004218999999999973,-0.010000000000000009,0.008333000000000007,-0.008332999999999924,1
mafft,muscle,-0.046081999999999956,0.020279999999999965,-0.010894999999999988,0.01846700000000001,-0.006763999999999992,1
clustal,mafft,0.03583399999999992,-0.014029999999999987,0.007603000000000026,-0.016409000000000007,0.004705999999999988,0
clustal,tcoffee,0.016202999999999967,-0.01824899999999996,-0.0023969999999999825,-0.008076,-0.003626999999999936,0
