tool1,tool2,delta_IC,delta_FlipScore,delta_MeanPairwiseID,delta_Mismatch,delta_Match,label
mafft,clustal,0.203231,0.08453899999999992,-0.023621999999999976,-0.031916,-0.06413500000000003,1
mafft,tcoffee,0.505312,0.09280899999999992,-0.079399,-0.097826,-0.10573999999999997,1
mafft,muscle,0.553937,0.110541,-0.08663499999999999,-0.09534100000000001,-0.118644,1
clustal,mafft,-0.203231,-0.08453899999999992,0.023621999999999976,0.031916,0.06413500000000003,0
clustal,tcoffee,0.302081,0.00827,-0.05577700000000002,-0.06591,-0.04160499999999995,1
clustal,muscle,0.350706,0.02600200000000008,-0.06301300000000001,-0.06342500000000001,-0.054508999999999974,1
tcoffee,mafft,-0.505312,-0.09280899999999992,0.079399,0.097826,0.10573999999999997,0
tcoffee,clustal,-0.302081,-0.00827,0.05577700000000002,0.06591,0.04160499999999995,0
tcoffee,muscle,0.04862500000000003,0.01773200000000008,-0.0072359999999999924,0.0024849999999999872,-0.012904000000000027,1
muscle,mafft,-0.553937,-0.110541,0.08663499999999999,0.09534100000000001,0.118644,0
muscle,clustal,-0.350706,-0.02600200000000008,0.06301300000000001,0.06342500000000001,0.054508999999999974,0
muscle,tcoffee,-0.04862500000000003,-0.01773200000000008,0.0072359999999999924,-0.0024849999999999872,0.012904000000000027,0
mafft,clustal,-0.03583399999999992,0.014029999999999987,-0.007603000000000026,0.016409000000000007,-0.004705999999999988,1
mafft,tcoffee,-0.046081999999999956,0.020279999999999965,-0.010894999999999988,0.01846700000000001,-0.006763999999999992,1
mafft,muscle,-0.019630999999999954,-0.004218999999999973,-0.010000000000000009,0.008333000000000007,-0.008332999999999924,1
clustal,mafft,0.03583399999999992,-0.014029999999999987,0.007603000000000026,-0.016409000000000007,0.004705999999999988,0
clustal,tcoffee,-0.010248000000000035,0.006249999999999978,-0.0032919999999999616,0.0020580000000000043,-0.0020580000000000043,0
clustal,muscle,0.016202999999999967,-0.01824899999999996,-0.0023969999999999825,-0.008076,-0.003626999999999936,1
tcoffee,mafft,0.046081999999999956,-0.020279999999999965,0.010894999999999988,-0.01846700000000001,0.006763999999999992,0
tcoffee,clustal,0.010248000000000035,-0.006249999999999978,0.0032919999999999616,-0.0020580000000000043,0.0020580000000000043,1
tcoffee,muscle,0.026451000000000002,-0.024498999999999937,0.0008949999999999791,-0.010134000000000004,-0.0015689999999999316,1
muscle,mafft,0.019630999999999954,0.004218999999999973,0.010000000000000009,-0.008333000000000007,0.008332999999999924,0
muscle,clustal,-0.016202999999999967,0.01824899999999996,0.0023969999999999825,0.008076,0.003626999999999936,0
muscle,tcoffee,-0.026451000000000002,0.024498999999999937,-0.0008949999999999791,0.010134000000000004,0.0015689999999999316,0
mafft,clustal,-0.022302999999999962,0.007101000000000024,0.014171999999999962,0.00745599999999999,0.011830000000000007,0
mafft,tcoffee,-0.027919000000000027,0.0479170000000001,-0.01237200000000005,0.008247000000000004,-0.008247000000000004,0
mafft,muscle,-0.0025680000000000147,-0.012499999999999956,-0.0020620000000000083,0.0020620000000000083,-0.0020620000000000083,1
clustal,mafft,0.022302999999999962,-0.007101000000000024,-0.014171999999999962,-0.00745599999999999,-0.011830000000000007,1
clustal,tcoffee,-0.005616000000000065,0.040816000000000074,-0.026544000000000012,0.0007910000000000139,-0.02007700000000001,1
clustal,muscle,0.019734999999999947,-0.01960099999999998,-0.01623399999999997,-0.005393999999999982,-0.013892000000000015,1
tcoffee,mafft,0.027919000000000027,-0.0479170000000001,0.01237200000000005,-0.008247000000000004,0.008247000000000004,1
tcoffee,clustal,0.005616000000000065,-0.040816000000000074,0.026544000000000012,-0.0007910000000000139,0.02007700000000001,0
tcoffee,muscle,0.025351000000000012,-0.060417000000000054,0.010310000000000041,-0.006184999999999996,0.006184999999999996,1
muscle,mafft,0.0025680000000000147,0.012499999999999956,0.0020620000000000083,-0.0020620000000000083,0.0020620000000000083,0
muscle,clustal,-0.019734999999999947,0.01960099999999998,0.01623399999999997,0.005393999999999982,0.013892000000000015,0
muscle,tcoffee,-0.025351000000000012,0.060417000000000054,-0.010310000000000041,0.006184999999999996,-0.006184999999999996,0
mafft,clustal,-0.011576999999999948,0.0010869999999999491,-0.012426000000000048,0.007526999999999992,-0.007527000000000061,0
mafft,tcoffee,-0.007255999999999929,0.03695700000000002,-0.00788600000000006,0.003225999999999979,-0.003226000000000062,0
mafft,muscle,-0.015039000000000025,0.010870000000000046,-0.011470000000000091,0.0064519999999999855,-0.0064510000000000955,0
clustal,mafft,0.011576999999999948,-0.0010869999999999491,0.012426000000000048,-0.007526999999999992,0.007527000000000061,1
clustal,tcoffee,0.004321000000000019,0.03587000000000007,0.0045399999999999885,-0.004301000000000013,0.004300999999999999,1
clustal,muscle,-0.003462000000000076,0.009783000000000097,0.0009559999999999569,-0.0010750000000000065,0.0010759999999999659,1
tcoffee,mafft,0.007255999999999929,-0.03695700000000002,0.00788600000000006,-0.003225999999999979,0.003226000000000062,1
tcoffee,clustal,-0.004321000000000019,-0.03587000000000007,-0.0045399999999999885,0.004301000000000013,-0.004300999999999999,0
