tool1,tool2,delta_IC,delta_FlipScore,delta_MeanPairwiseID,delta_Mismatch,delta_Match,label
mafft,clustal,0.082318,0.024839999999999973,-0.023735999999999924,-0.010384000000000004,-0.031716999999999995,0
mafft,tcoffee,0.11030899999999999,0.029092000000000007,-0.054869,-0.018026000000000014,-0.062244999999999995,0
mafft,muscle,-0.05221300000000001,0.08286899999999997,0.021628000000000036,0.015112999999999988,0.02594799999999997,1
clustal,mafft,-0.082318,-0.024839999999999973,0.023735999999999924,0.010384000000000004,0.031716999999999995,1
clustal,tcoffee,0.027990999999999988,0.0042520000000000335,-0.031133000000000077,-0.00764200000000001,-0.030528,0
clustal,muscle,-0.134531,0.058029,0.04536399999999996,0.025496999999999992,0.057664999999999966,1
tcoffee,mafft,-0.11030899999999999,-0.029092000000000007,0.054869,0.018026000000000014,0.062244999999999995,1
tcoffee,clustal,-0.027990999999999988,-0.0042520000000000335,0.031133000000000077,0.00764200000000001,0.030528,1
tcoffee,muscle,-0.162522,0.053776999999999964,0.07649700000000004,0.033139,0.08819299999999997,1
muscle,mafft,0.05221300000000001,-0.08286899999999997,-0.021628000000000036,-0.015112999999999988,-0.02594799999999997,0
muscle,clustal,0.134531,-0.058029,-0.04536399999999996,-0.025496999999999992,-0.057664999999999966,0
muscle,tcoffee,0.162522,-0.053776999999999964,-0.07649700000000004,-0.033139,-0.08819299999999997,0
mafft,clustal,-0.0063439999999999885,0.012619999999999965,0.010084000000000093,0.005326999999999998,0.0063149999999999595,1
mafft,tcoffee,0.08454800000000001,0.007521,-0.042537999999999965,-0.01721600000000001,-0.05118200000000006,0
mafft,muscle,-0.06368199999999999,0.09062199999999998,0.018559000000000048,0.011991000000000002,0.02194600000000002,1
clustal,mafft,0.0063439999999999885,-0.012619999999999965,-0.010084000000000093,-0.005326999999999998,-0.0063149999999999595,0
clustal,tcoffee,0.090892,-0.005098999999999965,-0.05262200000000006,-0.022543000000000007,-0.05749700000000002,0
clustal,muscle,-0.057338,0.07800200000000002,0.008474999999999955,0.006664000000000003,0.01563100000000006,1
tcoffee,mafft,-0.08454800000000001,-0.007521,0.042537999999999965,0.01721600000000001,0.05118200000000006,1
tcoffee,clustal,-0.090892,0.005098999999999965,0.05262200000000006,0.022543000000000007,0.05749700000000002,1
tcoffee,muscle,-0.14823,0.08310099999999998,0.06109700000000001,0.02920700000000001,0.07312800000000008,1
muscle,mafft,0.06368199999999999,-0.09062199999999998,-0.018559000000000048,-0.011991000000000002,-0.02194600000000002,0
muscle,clustal,0.057338,-0.07800200000000002,-0.008474999999999955,-0.006664000000000003,-0.01563100000000006,0
muscle,tcoffee,0.14823,-0.08310099999999998,-0.06109700000000001,-0.02920700000000001,-0.07312800000000008,0
mafft,clustal,-0.145148,0.05787700000000007,-0.02174999999999999,-0.018184000000000006,-0.03223200000000004,1
mafft,tcoffee,0.036847000000000005,0.08688000000000007,-0.181197,-0.088498,-0.20215600000000006,0
mafft,muscle,-0.24807200000000001,0.25837600000000005,-0.039356999999999975,-0.009621999999999992,-0.03533400000000003,1
clustal,mafft,0.145148,-0.05787700000000007,0.02174999999999999,0.018184000000000006,0.03223200000000004,0
clustal,tcoffee,0.18199500000000002,0.029003,-0.159447,-0.07031399999999999,-0.16992400000000002,0
clustal,muscle,-0.102924,0.20049899999999998,-0.017606999999999984,0.008562000000000014,-0.0031019999999999937,1
tcoffee,mafft,-0.036847000000000005,-0.08688000000000007,0.181197,0.088498,0.20215600000000006,1
tcoffee,clustal,-0.18199500000000002,-0.029003,0.159447,0.07031399999999999,0.16992400000000002,1
tcoffee,muscle,-0.28491900000000003,0.17149599999999998,0.14184000000000002,0.078876,0.16682200000000003,1
