family,tool,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength
RF00030,mafft,0.219915,0.123056,0.657029,0.08426,0.904327,0.749293,0.840602,0.138498,937
RF00052,mafft,0.785417,0.1625,0.052083,0.502349,1.0,0.932076,0.78903,0.650833,80
RF00068,mafft,0.785567,0.169072,0.045361,0.486873,0.942308,0.932266,0.747917,0.651546,97
RF00070,mafft,0.654839,0.132258,0.212903,0.579392,1.0,0.858708,0.75,0.528793,93
RF00071,mafft,0.696092,0.115402,0.188506,0.559461,0.757602,0.910429,0.763256,0.629464,87
RF00094,mafft,0.678341,0.189247,0.132412,0.464495,0.639411,0.885363,0.700682,0.615361,105
RF00101,mafft,0.860324,0.100202,0.039474,0.717173,1.0,0.961224,0.830362,0.82279,152
RF00111,mafft,0.73369,0.151337,0.114973,0.410839,0.789655,0.947226,0.763627,0.631417,110
RF00113,mafft,0.746835,0.188384,0.06478,0.385618,0.808926,0.940401,0.675534,0.654831,158
RF00127,mafft,0.481766,0.22906,0.289174,-0.0232,0.806161,0.830518,0.693743,0.404655,135
RF00128,mafft,0.761286,0.155267,0.083447,0.447484,0.907706,0.919615,0.736842,0.676171,172
RF00138,mafft,0.841584,0.128713,0.029703,0.637108,0.93425,0.950761,0.814,0.749505,101
RF00156,mafft,0.74932,0.126246,0.124434,0.472293,0.762275,0.933808,0.726098,0.669335,154
RF00164,mafft,0.755319,0.159574,0.085106,0.496086,0.610811,0.902789,0.747712,0.710905,47
RF00170,mafft,0.702091,0.148084,0.149826,0.515686,0.91529,0.952117,0.78836,0.594657,82
RF00173,mafft,0.873077,0.111538,0.015385,0.703999,1.0,0.980994,0.8,0.8,52
RF00177,mafft,0.63461,0.162969,0.202421,0.327835,0.867256,0.923245,0.759765,0.569874,1920
RF00181,mafft,0.525121,0.142857,0.332022,0.361266,0.79464,0.878515,0.737212,0.429845,112
RF00184,mafft,0.976852,0.023148,0.0,0.93641,0.0,0.990832,0.95283,0.959877,54
RF00185,mafft,0.605952,0.255844,0.138203,0.137962,0.704951,0.821088,0.577436,0.489055,110
RF00191,mafft,0.813116,0.125986,0.060897,0.486561,0.760637,0.963711,0.743672,0.723945,156
RF00192,mafft,0.981818,0.018182,0.0,0.93437,0.0,1.0,0.962963,0.963636,55
RF00195,mafft,0.773753,0.137389,0.088859,0.526321,0.786545,0.916822,0.729339,0.687765,133
RF00204,mafft,0.763285,0.138889,0.097826,0.552864,0.857143,0.935194,0.788767,0.671498,92
RF00211,mafft,0.776596,0.163564,0.05984,0.442884,0.669624,0.908353,0.732527,0.664134,94
RF00218,mafft,0.935238,0.038095,0.026667,0.873314,0.903093,0.987025,0.919231,0.895238,105
RF00221,mafft,0.917969,0.0625,0.019531,0.805874,1.0,0.970301,0.880952,0.854167,64
RF00239,mafft,0.746107,0.128484,0.12541,0.333856,0.767907,0.922689,0.773708,0.650801,80
RF00240,mafft,0.829437,0.082251,0.088312,0.740348,1.0,0.970205,0.846491,0.778602,77
RF00242,mafft,0.752948,0.154481,0.092571,0.464911,0.813756,0.917493,0.710119,0.650786,106
RF00246,mafft,0.684659,0.188488,0.126853,0.26371,0.864948,0.893215,0.743756,0.591505,92
RF00256,mafft,0.733333,0.165625,0.101042,0.361975,0.810929,0.914088,0.7173,0.645163,80
RF00260,mafft,0.793191,0.186149,0.02066,0.356298,0.878393,0.951145,0.738499,0.719478,179
RF00263,mafft,0.755865,0.181397,0.062739,0.28459,0.654064,0.93222,0.676648,0.656127,141
RF00266,mafft,0.777834,0.157895,0.064271,0.431838,0.392156,0.901923,0.721538,0.70251,76
RF00268,mafft,0.916456,0.048101,0.035443,0.830811,0.8125,0.994121,0.905128,0.849367,79
RF00285,mafft,0.940345,0.059655,0.0,0.842055,0.0,0.994843,0.888889,0.912088,91
RF00288,mafft,0.772566,0.090708,0.136726,0.626582,0.712477,0.948325,0.772321,0.702981,113
RF00289,mafft,0.878086,0.089506,0.032407,0.645972,0.566113,0.967507,0.818466,0.818991,72
RF00291,mafft,0.840514,0.106576,0.05291,0.65691,0.908207,0.965531,0.80137,0.763228,147
RF00293,mafft,0.892857,0.06456,0.042582,0.807132,0.88,0.975252,0.851595,0.840201,104
RF00296,mafft,0.725086,0.154639,0.120275,0.435634,0.779242,0.88826,0.760995,0.627653,97
RF00302,mafft,0.75207,0.162008,0.085921,0.405218,0.881362,0.950288,0.757039,0.637442,138
RF00303,mafft,0.753521,0.12356,0.122919,0.548006,0.75924,0.930294,0.751128,0.665429,142
RF00304,mafft,0.740517,0.176724,0.082759,0.395184,0.589436,0.905999,0.692609,0.650544,116
RF00311,mafft,0.790923,0.137277,0.071801,0.58485,0.874335,0.939508,0.742782,0.71529,128
RF00313,mafft,0.990654,0.004673,0.004673,0.990654,0.0,0.995659,0.985849,0.984424,107
RF00339,mafft,0.85,0.088462,0.061538,0.707062,0.722222,0.947671,0.777922,0.783476,78
RF00349,mafft,0.836,0.074,0.09,0.742928,1.0,0.942555,0.840404,0.751,100
RF00358,mafft,0.768491,0.140533,0.090976,0.523669,0.82367,0.931595,0.761016,0.674556,104
RF00360,mafft,0.780402,0.118985,0.100612,0.57351,0.804969,0.973566,0.828042,0.665354,127
RF00371,mafft,0.888587,0.067935,0.043478,0.778133,1.0,0.964503,0.881868,0.797101,92
RF00376,mafft,0.872233,0.126928,0.000838,0.510237,1.0,0.984061,0.787205,0.808259,84
RF00383,mafft,0.959322,0.040678,0.0,0.867875,0.0,0.996072,0.947009,0.927119,118
RF00389,mafft,0.946092,0.047469,0.006439,0.833654,0.863495,0.997125,0.914858,0.919736,159
RF00397,mafft,0.794253,0.131418,0.07433,0.464195,0.829073,0.950481,0.75,0.701375,145
RF00425,mafft,0.810717,0.133714,0.055569,0.438691,0.667183,0.961671,0.738631,0.723411,139
RF00433,mafft,0.962719,0.030702,0.006579,0.909056,1.0,0.99082,0.942605,0.938158,152
RF00437,mafft,0.875,0.077941,0.047059,0.733307,1.0,0.97562,0.866667,0.782353,136
RF00443,mafft,0.805266,0.083912,0.110822,0.605107,0.711167,0.948825,0.784091,0.737646,144
RF00445,mafft,0.521026,0.232821,0.246154,0.164396,0.889451,0.832796,0.706247,0.400684,150
RF00449,mafft,0.73091,0.131714,0.137377,0.531715,0.867515,0.939972,0.728239,0.639204,322
RF00456,mafft,0.461962,0.16853,0.369508,0.240403,0.855129,0.870751,0.761688,0.380817,114
RF00457,mafft,0.896529,0.041611,0.06186,0.799724,0.914366,0.976291,0.859826,0.847908,214
RF00460,mafft,0.724284,0.147813,0.127903,0.350965,0.703817,0.924466,0.767094,0.639914,85
RF00464,mafft,0.801697,0.160657,0.037646,0.470169,0.983211,0.941536,0.747182,0.730599,82
RF00470,mafft,0.745766,0.11119,0.143044,0.56676,0.83984,0.961337,0.82676,0.675254,310
RF00484,mafft,0.908991,0.04386,0.047149,0.872096,0.964336,0.96944,0.90287,0.847368,152
RF00510,mafft,0.842738,0.099445,0.057817,0.670566,0.915656,0.974224,0.812997,0.764822,94
RF00511,mafft,0.995968,0.004032,0.0,0.987352,0.0,1.0,0.991903,0.992742,248
RF00529,mafft,0.760698,0.219032,0.02027,0.322077,0.669252,0.891511,0.688068,0.677553,111
RF00554,mafft,0.807934,0.121861,0.070205,0.431864,0.856175,0.97053,0.790805,0.716572,146
RF00560,mafft,0.785137,0.113721,0.101142,0.466209,0.739527,0.958416,0.766477,0.711131,147
RF00561,mafft,0.84375,0.094013,0.062237,0.58761,0.633627,0.95805,0.77381,0.778031,136
RF00564,mafft,0.81181,0.107616,0.080574,0.480958,0.662139,0.961181,0.762778,0.72111,151
RF00576,mafft,0.869949,0.104798,0.025253,0.623769,1.0,0.964889,0.812899,0.810235,88
RF00592,mafft,0.82782,0.100752,0.071429,0.540403,0.770397,0.970935,0.805492,0.750042,70
RF00606,mafft,0.756949,0.053652,0.189399,0.728505,0.780281,0.965989,0.861438,0.695136,91
RF00608,mafft,0.814493,0.161739,0.023768,0.417645,0.616881,0.961403,0.797885,0.735652,75
RF00609,mafft,0.708791,0.173711,0.117498,0.337612,0.71876,0.877358,0.718803,0.611023,91
RF00613,mafft,0.815972,0.136111,0.047917,0.45399,0.647377,0.954789,0.807692,0.731725,144
RF00623,mafft,0.752747,0.236264,0.010989,0.257047,0.0,0.920585,0.674822,0.657046,182
RF00652,mafft,0.768461,0.041302,0.190238,0.801774,0.960072,0.943876,0.891208,0.658949,94
RF00657,mafft,0.632454,0.238351,0.129195,0.129223,0.842934,0.862417,0.681489,0.549605,93
RF00658,mafft,0.861569,0.076467,0.061964,0.695604,0.833816,0.972212,0.830605,0.794265,74
RF00660,mafft,0.836045,0.060404,0.10355,0.684215,0.951328,0.991296,0.913368,0.729978,104
RF00667,mafft,0.573516,0.1793,0.247184,0.29737,0.83963,0.889517,0.794059,0.501725,90
RF00668,mafft,0.766409,0.14396,0.08963,0.432843,0.790599,0.956835,0.751188,0.687316,74
RF00676,mafft,0.905046,0.004883,0.090071,0.978084,0.959956,0.990619,0.983004,0.834509,97
RF00679,mafft,0.669775,0.292929,0.037296,0.063866,0.78728,0.822911,0.699765,0.581197,99
RF00690,mafft,0.559868,0.167763,0.272368,0.369068,0.94771,0.893366,0.787037,0.429511,190
RF00696,mafft,0.805859,0.125781,0.068359,0.48038,0.941151,0.949285,0.803797,0.716986,80
RF00697,mafft,0.911765,0.030129,0.058106,0.871951,0.924784,0.988085,0.944808,0.851237,82
RF00702,mafft,0.625319,0.049107,0.325574,0.798007,0.931368,0.945958,0.925354,0.583451,112
RF00715,mafft,0.952381,0.031963,0.015656,0.864734,0.909341,1.0,0.941138,0.916243,73
RF00726,mafft,0.496281,0.200826,0.302893,0.134335,0.829597,0.827331,0.734987,0.400605,110
RF00727,mafft,0.743842,0.155993,0.100164,0.361997,0.79057,0.91792,0.791113,0.64307,87
RF00749,mafft,0.731466,0.194828,0.073707,0.376024,0.88124,0.91973,0.737233,0.660222,80
RF00754,mafft,0.608821,0.288342,0.102837,-0.089779,0.839308,0.868588,0.654122,0.484929,94
RF00756,mafft,0.951247,0.030612,0.018141,0.868922,0.973281,1.0,0.953917,0.910169,63
RF00779,mafft,0.539733,0.171647,0.28862,0.34203,0.918392,0.849975,0.743918,0.40178,143
RF00789,mafft,0.744543,0.136283,0.119174,0.471629,0.770713,0.966019,0.827976,0.65099,113
RF00796,mafft,0.779762,0.119048,0.10119,0.633199,0.948128,0.886407,0.825301,0.632937,84
