family,tool,Filename,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength,sp
RF00009,mafft,RF00009_mafft.fasta,0.219299,0.116133,0.664569,0.121321,0.857141,0.714866,0.833839,0.143225,935,0.4674237977081349
RF00024,mafft,RF00024_mafft.fasta,0.446778,0.161497,0.391726,0.195508,0.856324,0.842765,0.755202,0.336252,731,0.658761158375592
RF00026,mafft,RF00026_mafft.fasta,0.386248,0.102386,0.511367,0.216422,0.78193,0.835301,0.790193,0.32176,219,0.814924290005423
RF00027,mafft,RF00027_mafft.fasta,0.63444,0.197266,0.168294,0.210947,0.693724,0.905526,0.6875,0.533802,96,0.8442100081816186
RF00032,mafft,RF00032_mafft.fasta,0.559583,0.364583,0.075833,-0.252863,0.940851,0.873544,0.611915,0.439439,48,0.8084467186106912
RF00034,mafft,RF00034_mafft.fasta,0.720648,0.22807,0.051282,0.246384,0.75786,0.901518,0.674609,0.620783,114,0.6055481202092712
RF00044,mafft,RF00044_mafft.fasta,0.976667,0.008333,0.015,0.965285,1.0,0.99301,0.986555,0.963333,120,1.0
RF00045,mafft,RF00045_mafft.fasta,0.588375,0.132481,0.279144,0.425305,0.811071,0.832567,0.688041,0.494239,281,0.8767439880612562
RF00052,mafft,RF00052_mafft.fasta,0.785417,0.1625,0.052083,0.502349,1.0,0.932076,0.78903,0.650833,80,0.9183673469387756
RF00053,mafft,RF00053_mafft.fasta,0.608809,0.20863,0.182561,0.057298,0.743009,0.874913,0.719697,0.510781,102,0.8323563058467056
RF00062,mafft,RF00062_mafft.fasta,0.655294,0.135294,0.209412,0.580764,0.980412,0.94187,0.786982,0.501176,170,0.742714404662781
RF00070,mafft,RF00070_mafft.fasta,0.654839,0.132258,0.212903,0.579392,1.0,0.858708,0.75,0.528793,93,0.8193612774451098
RF00071,mafft,RF00071_mafft.fasta,0.696092,0.115402,0.188506,0.559461,0.757602,0.910429,0.763256,0.629464,87,0.882091375519179
RF00074,mafft,RF00074_mafft.fasta,0.540147,0.188387,0.271467,0.124776,0.697863,0.838972,0.730479,0.478199,94,0.7771984644228194
RF00085,mafft,RF00085_mafft.fasta,0.74375,0.120455,0.135795,0.483477,0.86797,0.91455,0.748276,0.65323,88,0.8636493025903786
RF00097,mafft,RF00097_mafft.fasta,0.889259,0.101111,0.00963,0.518128,0.0,0.995653,0.840374,0.811296,108,0.9955073006364658
RF00104,mafft,RF00104_mafft.fasta,0.699719,0.226793,0.073488,0.236093,0.656718,0.925861,0.661325,0.614185,79,0.9316318844432628
