Family,Source,Filename,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength
RF00001,Rfam,RF00001_bench.fasta,0.358764,0.171151,0.470085,0.176604,0.487517,0.667084,0.499813,0.290896,220
RF00002,Rfam,RF00002_bench.fasta,0.573295,0.162034,0.264671,0.311012,0.685062,0.885584,0.661308,0.484810,207
RF00003,Rfam,RF00003_bench.fasta,0.599507,0.199901,0.200591,0.178344,0.550666,0.828875,0.635149,0.502971,203
RF00004,Rfam,RF00004_bench.fasta,0.482283,0.212901,0.304815,0.054722,0.657915,0.779608,0.640154,0.398901,274
RF00005,Rfam,RF00005_bench.fasta,0.343029,0.279163,0.377808,-0.326787,0.321400,0.563461,0.498740,0.265538,118
RF00006,Rfam,RF00006_bench.fasta,0.416422,0.202790,0.380788,-0.033750,0.889477,0.907527,0.764164,0.338154,163
RF00007,Rfam,RF00007_bench.fasta,0.438842,0.160271,0.400887,0.146850,0.796017,0.777516,0.712325,0.343592,269
RF00008,Rfam,RF00008_bench.fasta,0.504083,0.144498,0.351419,0.342928,0.850394,0.815441,0.770588,0.413360,85
RF00009,Rfam,RF00009_bench.fasta,0.231125,0.140032,0.628842,0.045227,0.846842,0.679636,0.803758,0.154632,845
RF00010,Rfam,RF00010_bench.fasta,0.257626,0.124328,0.618046,-0.013314,0.723381,0.692274,0.718542,0.210139,996
RF00011,Rfam,RF00011_bench.fasta,0.454923,0.154640,0.390437,0.175070,0.751470,0.838101,0.717828,0.384024,603
RF00012,Rfam,RF00012_bench.fasta,0.476539,0.184781,0.338680,0.042488,0.569484,0.775110,0.606094,0.363580,316
RF00013,Rfam,RF00013_bench.fasta,0.386107,0.300051,0.313842,-0.294776,0.563468,0.639370,0.581481,0.287798,262
RF00014,Rfam,RF00014_bench.fasta,0.877273,0.095455,0.027273,0.706561,0.250000,0.969516,0.822989,0.802273,88
RF00015,Rfam,RF00015_bench.fasta,0.376771,0.174384,0.448845,-0.086697,0.733642,0.806326,0.715978,0.298546,261
RF00016,Rfam,RF00016_bench.fasta,0.550664,0.144654,0.304682,0.350822,0.780061,0.798036,0.755977,0.421630,159
RF00017,Rfam,RF00017_bench.fasta,0.557346,0.153713,0.288942,0.308852,0.627830,0.854360,0.665544,0.470768,412
RF00018,Rfam,RF00018_bench.fasta,0.640171,0.155672,0.204158,0.380124,0.706218,0.886123,0.675960,0.546899,438
RF00019,Rfam,RF00019_bench.fasta,0.514589,0.176260,0.309151,0.162975,0.772855,0.832812,0.699386,0.412276,145
RF00020,Rfam,RF00020_bench.fasta,0.389112,0.221223,0.389665,-0.074207,0.704037,0.752438,0.667291,0.309757,192
