family,tool,SP
RF00013,mafft,0.5541879012830273
RF00004,muscle,0.1396463898266114
RF00021,tcoffee,0.9008847747148775
RF00030,clustal,0.43163553658972575
RF00013,clustal,0.5627694540717624
RF00004,tcoffee,0.7492847516597105
RF00021,mafft,0.8634992072827699
RF00029,muscle,0.4292072473325878
RF00012,muscle,0.23262698346549252
RF00038,clustal,0.9596525637433455
RF00004,mafft,0.6441691026714788
RF00021,clustal,0.8634480642356671
RF00029,tcoffee,0.7146307039929145
RF00012,tcoffee,0.7087506718131626
RF00004,clustal,0.6355176889332671
RF00020,muscle,0.1370552256124412
RF00029,mafft,0.7293847031199722
RF00012,mafft,0.7263457100238835
RF00003,muscle,0.24741732364083138
RF00020,tcoffee,0.6709424392051673
RF00029,clustal,0.6013043159668792
RF00001,clustal,0.7449521624532691
RF00037,mafft,0.9188662196223902
RF00012,clustal,0.7112496730748781
RF00003,tcoffee,0.8377214088256374
RF00020,mafft,0.6657055806059308
RF00028,muscle,0.03418693156163323
RF00037,clustal,0.9188662196223902
RF00011,muscle,0.06005483834008882
RF00003,mafft,0.8216199959045767
RF00020,clustal,0.5731656065139533
RF00028,tcoffee,0.23905050635360897
RF00011,tcoffee,0.8422327919285767
RF00003,clustal,0.795571823487253
RF00019,muscle,0.26476026156278826
RF00028,mafft,0.3483196800619235
RF00011,mafft,0.8819783950375858
RF00002,muscle,0.43236580961069426
RF00019,tcoffee,0.5786726676769007
RF00028,clustal,0.2659485260917242
RF00011,clustal,0.8690501114205743
RF00002,tcoffee,0.9123978328461582
RF00019,mafft,0.6608701739359599
RF00027,muscle,0.2636410198420881
RF00002,mafft,0.9071326171547728
RF00019,clustal,0.6771560811701146
RF00027,tcoffee,0.8496178585444701
RF00002,clustal,0.908584833646739
RF00026,mafft,0.814924290005423
RF00027,mafft,0.8442100081816186
RF00034,mafft,0.6055481202092712
RF00035,muscle,0.6707202993451824
RF00018,muscle,0.1595324695496848
RF00001,muscle,0.32442262566928237
RF00027,clustal,0.8375516339956232
RF00035,tcoffee,0.9719363891487371
RF00018,tcoffee,0.795146933826924
RF00001,tcoffee,0.8315150161652737
RF00026,muscle,0.06935761199622367
RF00009,muscle,0.025179190694416355
RF00035,mafft,0.9382600561272217
RF00018,mafft,0.8440443368669938
RF00001,mafft,0.7242204235281089
RF00026,tcoffee,0.8001592469009774
RF00009,tcoffee,0.4607833827454037
RF00035,clustal,0.9663236669784846
RF00018,clustal,0.7803996185890383
RF00009,mafft,0.46742379770813497
RF00034,muscle,0.1421097457111571
RF00017,muscle,0.08495164902857431
RF00008,clustal,0.8257199712564258
RF00026,clustal,0.7035253832901358
RF00009,clustal,0.4749533832880321
RF00034,tcoffee,0.6899866163766881
RF00017,tcoffee,0.9078727055865157
RF00025,muscle,0.06936221124643373
RF00008,muscle,0.350008291415621
RF00017,mafft,0.9216315518990942
RF00025,tcoffee,0.49700892720188977
RF00034,clustal,0.6413188952427302
RF00008,tcoffee,0.8708639655077111
RF00017,clustal,0.9259540406195277
RF00025,mafft,0.4206828849280609
RF00033,muscle,0.3707865168539326
RF00008,mafft,0.8063070034823946
RF00016,muscle,0.023457134878525552
RF00025,clustal,0.4489983740835046
RF00033,tcoffee,0.9606741573033708
RF00016,tcoffee,0.7301033230941077
RF00007,muscle,0.24661109226897057
RF00024,muscle,0.037559197016051295
RF00033,mafft,0.8595505617977528
RF00016,mafft,0.7180955040491482
RF00007,tcoffee,0.6823476910444297
RF00024,tcoffee,0.58181132391769
RF00033,clustal,0.9550561797752809
RF00016,clustal,0.7654286512147445
RF00007,mafft,0.6714874779100695
RF00024,mafft,0.658761158375592
RF00032,muscle,0.6354808698685893
RF00015,muscle,0.23192387731097505
RF00007,clustal,0.6687313685939201
RF00024,clustal,0.6640040233016219
RF00032,tcoffee,0.7805946427879211
RF00015,tcoffee,0.7268007761055986
RF00006,muscle,0.1494007956546908
RF00032,mafft,0.8084467186106912
RF00015,mafft,0.74569422243669
RF00006,tcoffee,0.7049057161508049
RF00032,clustal,0.7014962980191495
RF00015,clustal,0.7448613163635632
RF00006,mafft,0.7993825259778383
RF00031,muscle,0.18691201010237676
RF00014,muscle,0.4899645808736718
RF00006,clustal,0.730606430105143
RF00031,tcoffee,0.6232084066206648
RF00014,tcoffee,0.8476977567886659
RF00005,muscle,0.2803559194897118
RF00022,muscle,0.0926653054813884
RF00031,mafft,0.6316240472646913
RF00014,mafft,0.8783943329397875
RF00005,tcoffee,0.8615371646030769
RF00022,tcoffee,0.6601225066750432
RF00031,clustal,0.5900780228205476
RF00014,clustal,0.8902007083825265
RF00022,mafft,0.6095021203078372
RF00030,muscle,0.026313187210235463
RF00013,muscle,0.19186801360453254
RF00022,clustal,0.612721847023716
RF00005,mafft,0.7010475949526754
RF00030,tcoffee,0.3937678993188275
RF00013,tcoffee,0.5786299062477759
RF00021,muscle,0.36117219863959493
RF00005,clustal,0.6759258305432321
RF00030,mafft,0.4963450208991781
RF00037,muscle,0.4676051425944421
