family,tool,sp
RF00009,mafft,0.4674237977081349
RF00024,mafft,0.658761158375592
RF00026,mafft,0.814924290005423
RF00027,mafft,0.8442100081816186
RF00032,mafft,0.8084467186106912
RF00034,mafft,0.6055481202092712
RF00044,mafft,1.0
RF00045,mafft,0.8767439880612562
RF00052,mafft,0.9183673469387756
RF00053,mafft,0.8323563058467056
RF00062,mafft,0.742714404662781
RF00070,mafft,0.8193612774451098
RF00071,mafft,0.882091375519179
RF00074,mafft,0.7771984644228194
RF00085,mafft,0.8636493025903786
RF00097,mafft,0.9955073006364658
RF00104,mafft,0.9316318844432628
RF00110,mafft,0.8801102434542949
RF00111,mafft,0.8377109200891436
RF00124,mafft,0.9847590953785644
RF00128,mafft,0.8987753911944796
RF00136,mafft,0.972777713559126
RF00138,mafft,0.9779874213836478
RF00144,mafft,0.985634584465033
RF00147,mafft,0.83883964544722
RF00156,mafft,0.966724419501115
RF00159,mafft,0.9238410596026492
RF00163,mafft,0.6302080428356295
RF00173,mafft,0.9881422924901184
RF00180,mafft,0.9404255319148936
RF00181,mafft,0.9106576408646456
RF00182,mafft,0.980721393034826
RF00186,mafft,0.9293020457280384
RF00191,mafft,0.956961101933103
RF00200,mafft,0.8751297781972629
RF00202,mafft,0.9285714285714286
RF00206,mafft,0.7763469598493592
RF00211,mafft,0.9282436378806842
RF00213,mafft,0.7137719969395563
RF00217,mafft,0.9435838904288276
RF00223,mafft,0.9251269035532996
RF00226,mafft,0.6636873830804406
RF00230,mafft,0.5999565255195201
RF00231,mafft,0.9631358660656794
RF00238,mafft,0.784550788609571
RF00247,mafft,0.8296337402885683
RF00248,mafft,0.968705062726236
RF00255,mafft,0.9753274111170732
RF00256,mafft,0.9309327384459972
RF00263,mafft,0.9411152134810188
RF00266,mafft,0.9320336730172796
RF00267,mafft,0.873481057898499
RF00268,mafft,0.9689189189189188
RF00273,mafft,0.8906162678453488
RF00280,mafft,0.9613670133729568
RF00284,mafft,0.9539970753107484
RF00302,mafft,0.890973355084285
RF00310,mafft,1.0
RF00312,mafft,0.957900207900208
RF00322,mafft,0.9942100909842844
RF00329,mafft,0.9771790808240888
RF00332,mafft,0.9075471698113208
RF00335,mafft,0.7895619549283176
RF00336,mafft,0.9592391304347826
RF00339,mafft,0.974058060531192
RF00344,mafft,1.0
RF00348,mafft,1.0
RF00360,mafft,0.8084221471276319
RF00368,mafft,0.7091292875989446
RF00371,mafft,0.9047619047619048
RF00387,mafft,0.93261231281198
RF00393,mafft,0.9971098265895952
RF00396,mafft,0.8559298563641627
RF00400,mafft,0.9356393606393606
RF00404,mafft,0.9242626256056714
RF00405,mafft,0.9536668307306816
RF00411,mafft,0.9653518123667376
RF00426,mafft,0.8794861197217055
RF00429,mafft,0.9339551643138954
RF00432,mafft,0.937778721596942
RF00433,mafft,0.9538393253439856
RF00448,mafft,0.9134709931170109
RF00451,mafft,0.7774625632922757
RF00455,mafft,0.876164754817671
RF00462,mafft,1.0
RF00479,mafft,0.8273615635179153
RF00483,mafft,0.9567177637511272
RF00487,mafft,0.9268527430221368
RF00494,mafft,0.974744643746886
RF00503,mafft,0.5376119567009177
RF00517,mafft,0.9818303582106211
RF00520,mafft,0.8980021030494216
RF00521,mafft,0.8579684850081505
RF00526,mafft,0.8671359436867576
RF00527,mafft,0.8436342922244375
RF00531,mafft,0.8284628177714422
RF00533,mafft,0.8771741464462101
RF00537,mafft,0.7634589995599237
RF00553,mafft,0.8332507356357441
RF00554,mafft,0.9667396179514198
RF00558,mafft,0.601298506904165
RF00560,mafft,0.9943545892438904
RF00569,mafft,0.94172790926451
RF00570,mafft,0.9477454203851572
RF00580,mafft,0.9648363750786658
RF00601,mafft,0.9666408068269976
RF00602,mafft,0.9539283918600652
RF00611,mafft,0.8002773925104022
RF00613,mafft,0.962005605730302
RF00619,mafft,0.7370568190057278
RF00629,mafft,0.9392821053556524
RF00635,mafft,0.9921671018276762
RF00636,mafft,0.9886973749380882
RF00641,mafft,0.9312866086076812
RF00642,mafft,0.8958201225956457
RF00647,mafft,1.0
RF00658,mafft,0.9563771875342516
RF00687,mafft,1.0
RF00692,mafft,0.8592800374006545
RF00719,mafft,1.0
RF00727,mafft,0.9334383615596692
RF00730,mafft,0.8793158061450744
RF00737,mafft,0.9908872294646248
RF00756,mafft,1.0
RF00758,mafft,1.0
RF00760,mafft,0.9761904761904762
RF00768,mafft,1.0
RF00770,mafft,0.9944108057755008
RF00783,mafft,1.0
RF00791,mafft,0.9078341013824884
RF00825,mafft,0.9890979257115292
RF00830,mafft,0.8886583679114799
RF00845,mafft,0.961123110151188
RF00849,mafft,0.993939393939394
RF00850,mafft,0.9739130434782608
RF00851,mafft,0.991869918699187
RF00852,mafft,0.9681372549019608
RF00857,mafft,0.980997624703088
RF00870,mafft,1.0
RF00873,mafft,1.0
RF00884,mafft,0.6593886462882096
RF00888,mafft,0.9735449735449736
RF00893,mafft,1.0
RF00911,mafft,1.0
RF00912,mafft,0.9748110831234256
RF00922,mafft,1.0
RF00934,mafft,1.0
RF00950,mafft,0.8716683119447186
RF00956,mafft,0.992156862745098
RF00963,mafft,1.0
RF00965,mafft,0.9832317073170732
RF00976,mafft,1.0
RF00983,mafft,1.0
RF00991,mafft,0.9844710449692656
RF01003,mafft,1.0
RF01006,mafft,1.0
RF01020,mafft,1.0
RF01064,mafft,1.0
RF01067,mafft,0.9311838887126076
RF01084,mafft,0.6347905282331512
RF01087,mafft,0.9807001795332136
RF01104,mafft,1.0
RF01106,mafft,1.0
RF01123,mafft,1.0
RF01127,mafft,1.0
RF01130,mafft,0.9790575916230366
