family,tool,Filename,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength,sp
RF00002,mafft,RF00002_mafft.fasta,0.57577,0.166733,0.257497,0.289514,0.834456,0.91293,0.710222,0.483926,205,0.9071326171547728
RF00003,mafft,RF00003_mafft.fasta,0.606946,0.192463,0.200591,0.208493,0.67596,0.854244,0.665693,0.515449,203,0.8216199959045767
RF00004,mafft,RF00004_mafft.fasta,0.38253,0.158608,0.458862,-0.079528,0.752943,0.763058,0.740921,0.296541,352,0.6441691026714788
RF00005,mafft,RF00005_mafft.fasta,0.150655,0.121266,0.728079,-0.151106,0.686146,0.325752,0.762807,0.103587,270,0.7010475949526754
RF00006,mafft,RF00006_mafft.fasta,0.359803,0.165882,0.474315,0.049574,0.851349,0.900855,0.769849,0.279427,192,0.7993825259778383
RF00010,mafft,RF00010_mafft.fasta,0.192365,0.085724,0.72191,-0.025812,0.779747,0.713851,0.833364,0.148178,1368,0.7573773141155212
RF00011,mafft,RF00011_mafft.fasta,0.466761,0.160485,0.372754,0.139409,0.796606,0.860917,0.741124,0.394967,586,0.8819783950375858
RF00012,mafft,RF00012_mafft.fasta,0.562696,0.228884,0.20842,-0.040692,0.813368,0.863796,0.685634,0.443454,264,0.7263457100238835
RF00014,mafft,RF00014_mafft.fasta,0.908046,0.075862,0.016092,0.762902,1.0,0.978375,0.848837,0.842529,87,0.8783943329397875
RF00016,mafft,RF00016_mafft.fasta,0.58874,0.153244,0.258016,0.320599,0.85766,0.803357,0.75488,0.456683,149,0.7180955040491482
RF00017,mafft,RF00017_mafft.fasta,0.701253,0.191906,0.106841,0.269236,0.839206,0.920155,0.694492,0.603452,328,0.9216315518990942
RF00019,mafft,RF00019_mafft.fasta,0.556677,0.148768,0.294556,0.35597,0.758743,0.835817,0.666667,0.451129,142,0.6608701739359599
RF00020,mafft,RF00020_mafft.fasta,0.303279,0.163591,0.53313,0.171761,0.760104,0.755559,0.741609,0.23567,251,0.6657055806059308
RF00021,mafft,RF00021_mafft.fasta,0.720939,0.126846,0.152215,0.568331,0.620856,0.915619,0.750953,0.649586,139,0.8634992072827699
RF00022,mafft,RF00022_mafft.fasta,0.545455,0.162264,0.292282,0.311933,0.84111,0.875357,0.724366,0.42224,286,0.6095021203078372
RF00023,mafft,RF00023_mafft.fasta,0.201573,0.114944,0.683483,-0.062405,0.767483,0.572857,0.807221,0.132481,1131,0.4477084308368522
RF00025,mafft,RF00025_mafft.fasta,0.443582,0.18668,0.369738,0.23231,0.869375,0.812196,0.737143,0.3,276,0.4206828849280609
RF00028,mafft,RF00028_mafft.fasta,0.33881,0.182381,0.47881,0.200278,0.927783,0.623825,0.753934,0.181623,700,0.3483196800619235
RF00029,mafft,RF00029_mafft.fasta,0.287595,0.169151,0.543254,-0.059129,0.872008,0.67813,0.770444,0.201668,194,0.7293847031199722
RF00035,mafft,RF00035_mafft.fasta,0.894737,0.066667,0.038596,0.838175,1.0,0.987192,0.897345,0.837719,114,0.9382600561272216
RF00036,mafft,RF00036_mafft.fasta,0.974796,0.018416,0.006787,0.912666,0.814286,0.995327,0.961107,0.961256,340,0.998791622678118
