family,tool,sp
RF00001,mafft,0.7242204235281089
RF00002,mafft,0.9071326171547728
RF00003,mafft,0.8216199959045767
RF00004,mafft,0.6441691026714788
RF00005,mafft,0.7010475949526754
RF00006,mafft,0.7993825259778383
RF00007,mafft,0.6714874779100695
RF00008,mafft,0.8063070034823946
RF00009,mafft,0.4674237977081349
RF00010,mafft,0.7573773141155212
RF00011,mafft,0.8819783950375858
RF00012,mafft,0.7263457100238835
RF00013,mafft,0.5541879012830273
RF00014,mafft,0.8783943329397875
RF00015,mafft,0.74569422243669
RF00016,mafft,0.7180955040491482
RF00017,mafft,0.9216315518990942
RF00018,mafft,0.8440443368669938
RF00020,mafft,0.6657055806059308
RF00021,mafft,0.8634992072827699
RF00022,mafft,0.6095021203078372
RF00023,mafft,0.4477084308368522
RF00024,mafft,0.658761158375592
RF00025,mafft,0.4206828849280609
RF00027,mafft,0.8442100081816186
RF00028,mafft,0.3483196800619235
RF00029,mafft,0.7293847031199722
RF00032,mafft,0.8084467186106912
RF00033,mafft,0.8595505617977528
RF00034,mafft,0.6055481202092712
RF00035,mafft,0.9382600561272216
RF00036,mafft,0.998791622678118
RF00037,mafft,0.9188662196223902
RF00038,mafft,0.9106192210703278
RF00039,mafft,0.842741935483871
RF00040,mafft,0.7374681393372983
RF00041,mafft,0.946140475663352
RF00042,mafft,0.9454455479335176
RF00043,mafft,0.9151606425702812
RF00046,mafft,1.0
RF00047,mafft,0.8459055914145734
RF00048,mafft,1.0
RF00051,mafft,0.924810357023747
RF00053,mafft,0.8323563058467056
RF00054,mafft,0.7399568881050362
RF00055,mafft,0.5891608391608392
RF00056,mafft,0.9189044676806084
RF00059,mafft,0.760704749813489
RF00060,mafft,0.9568627450980391
RF00061,mafft,0.9940274108473974
RF00062,mafft,0.742714404662781
RF00063,mafft,0.987460815047022
RF00064,mafft,0.7751322751322751
RF00065,mafft,0.9348171701112876
RF00067,mafft,0.6376364804110469
RF00069,mafft,0.7260856361979957
RF00072,mafft,0.7444444444444445
RF00073,mafft,0.758850146393399
RF00075,mafft,0.7398430474944822
RF00076,mafft,0.7950844326043054
RF00078,mafft,0.724818739542666
RF00079,mafft,0.7956517194522839
RF00080,mafft,0.406453789071284
RF00081,mafft,0.8313157894736842
RF00082,mafft,0.7338943702843876
RF00083,mafft,0.93180241597895
RF00084,mafft,0.9113333333333332
RF00086,mafft,0.742392444910808
RF00087,mafft,0.8720288837629124
RF00088,mafft,0.962616105012666
RF00089,mafft,0.8920736515003942
RF00090,mafft,0.9426058355045548
RF00091,mafft,0.932206710751898
RF00092,mafft,0.9455840455840456
RF00093,mafft,0.8276406952716665
RF00095,mafft,0.8877271595718198
RF00096,mafft,0.825386666102448
RF00099,mafft,0.9422930486859526
RF00100,mafft,0.8500018879777013
RF00103,mafft,0.9050719864496096
RF00104,mafft,0.9316318844432628
RF00105,mafft,0.9697139224411953
RF00106,mafft,0.8643061359137894
RF00107,mafft,0.937719298245614
RF00108,mafft,0.9543284019334992
RF00109,mafft,0.7668794390002697
RF00110,mafft,0.8801102434542949
RF00112,mafft,0.922671959955122
RF00114,mafft,0.7787600202464893
RF00115,mafft,0.8586387434554974
RF00116,mafft,1.0
RF00117,mafft,1.0
RF00118,mafft,0.9686746987951808
RF00119,mafft,1.0
RF00122,mafft,0.9753521126760564
RF00125,mafft,0.9463858305409286
RF00126,mafft,0.9469791566612236
RF00129,mafft,0.9781229298452986
RF00130,mafft,0.9544196008776512
RF00131,mafft,0.9098094239576036
RF00133,mafft,0.782987633915217
RF00134,mafft,0.7829771554900515
RF00135,mafft,1.0
RF00136,mafft,0.972777713559126
RF00137,mafft,0.9292035398230089
RF00140,mafft,0.6881922758694318
RF00142,mafft,0.8960538979788258
RF00143,mafft,0.910876475930972
RF00144,mafft,0.985634584465033
RF00145,mafft,0.6371584699453552
RF00149,mafft,0.8252473667411426
RF00150,mafft,0.8138424821002387
RF00151,mafft,0.939596721891398
RF00152,mafft,0.8265893994848854
RF00153,mafft,0.9592842323651452
RF00154,mafft,0.8664502534312888
RF00155,mafft,0.980303641682639
RF00157,mafft,0.9720270360704008
RF00159,mafft,0.9238410596026492
RF00160,mafft,0.8106821787414067
RF00161,mafft,0.903206997084548
RF00162,mafft,0.8022533690849133
RF00163,mafft,0.6302080428356295
RF00165,mafft,0.7731769879076584
RF00166,mafft,0.7160664458758181
RF00167,mafft,0.9496475085536475
RF00168,mafft,0.7653957531540887
RF00169,mafft,0.6924097031709352
RF00171,mafft,0.85243766282099
RF00172,mafft,0.7435424354243543
RF00174,mafft,0.5497360159389971
RF00176,mafft,0.9752489536729688
RF00178,mafft,0.970297978346268
RF00179,mafft,0.9604722792607804
RF00183,mafft,0.8773766877927803
RF00187,mafft,0.9125455491931286
RF00188,mafft,0.964975845410628
RF00189,mafft,0.9873417721518988
RF00190,mafft,0.8868694362017804
RF00193,mafft,0.9949021207177814
RF00194,mafft,0.9902966148417688
RF00196,mafft,1.0
RF00198,mafft,0.9870668681332752
RF00199,mafft,0.8728936069216994
RF00201,mafft,0.9750415973377704
RF00203,mafft,0.8110119047619048
RF00205,mafft,0.9269994632313472
RF00206,mafft,0.7763469598493592
RF00208,mafft,1.0
RF00209,mafft,0.9779827033093034
RF00210,mafft,0.9472097999809392
RF00212,mafft,0.7278712509144111
RF00213,mafft,0.7137719969395563
RF00214,mafft,0.9731468739539556
RF00215,mafft,0.9511932669766728
RF00217,mafft,0.9435838904288276
RF00222,mafft,0.9666265627452006
RF00223,mafft,0.9251269035532996
RF00224,mafft,0.9529767633713736
RF00225,mafft,0.9848628192999054
RF00226,mafft,0.6636873830804406
RF00231,mafft,0.9631358660656794
RF00232,mafft,0.9386733416770964
RF00233,mafft,0.904019196160768
RF00234,mafft,0.7113730487416374
RF00236,mafft,0.7863595877338083
RF00237,mafft,0.8792726120161396
RF00241,mafft,0.8875228559195945
RF00243,mafft,0.9438202247191012
RF00244,mafft,0.963174825480885
RF00245,mafft,0.8550921151137892
