family,tool,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength
RF00001,mafft,0.251826,0.119452,0.628722,0.272885,0.707357,0.651067,0.728499,0.197183,314
RF00002,mafft,0.57577,0.166733,0.257497,0.289514,0.834456,0.91293,0.710222,0.483926,205
RF00003,mafft,0.606946,0.192463,0.200591,0.208493,0.67596,0.854244,0.665693,0.515449,203
RF00004,mafft,0.38253,0.158608,0.458862,-0.079528,0.752943,0.763058,0.740921,0.296541,352
RF00005,mafft,0.150655,0.121266,0.728079,-0.151106,0.686146,0.325752,0.762807,0.103587,270
RF00006,mafft,0.359803,0.165882,0.474315,0.049574,0.851349,0.900855,0.769849,0.279427,192
RF00007,mafft,0.465169,0.161918,0.372913,0.09811,0.832237,0.810313,0.752079,0.363341,257
RF00008,mafft,0.506162,0.15014,0.343697,0.346989,0.918699,0.87933,0.756768,0.412282,84
RF00009,mafft,0.219299,0.116133,0.664569,0.121321,0.857141,0.714866,0.833839,0.143225,935
RF00010,mafft,0.192365,0.085724,0.72191,-0.025812,0.779747,0.713851,0.833364,0.148178,1368
RF00011,mafft,0.466761,0.160485,0.372754,0.139409,0.796606,0.860917,0.741124,0.394967,586
RF00012,mafft,0.562696,0.228884,0.20842,-0.040692,0.813368,0.863796,0.685634,0.443454,264
RF00013,mafft,0.358662,0.274343,0.366995,-0.286719,0.690137,0.671263,0.621932,0.25359,284
RF00014,mafft,0.908046,0.075862,0.016092,0.762902,1.0,0.978375,0.848837,0.842529,87
RF00015,mafft,0.34993,0.153047,0.497023,0.017677,0.803098,0.825584,0.772812,0.27211,286
RF00016,mafft,0.58874,0.153244,0.258016,0.320599,0.85766,0.803357,0.75488,0.456683,149
RF00017,mafft,0.701253,0.191906,0.106841,0.269236,0.839206,0.920155,0.694492,0.603452,328
RF00018,mafft,0.654861,0.165325,0.179814,0.358408,0.85788,0.909428,0.72958,0.558949,425
RF00020,mafft,0.303279,0.163591,0.53313,0.171761,0.760104,0.755559,0.741609,0.23567,251
RF00021,mafft,0.720939,0.126846,0.152215,0.568331,0.620856,0.915619,0.750953,0.649586,139
RF00022,mafft,0.545455,0.162264,0.292282,0.311933,0.84111,0.875357,0.724366,0.42224,286
RF00023,mafft,0.201573,0.114944,0.683483,-0.062405,0.767483,0.572857,0.807221,0.132481,1131
RF00024,mafft,0.446778,0.161497,0.391726,0.195508,0.856324,0.842765,0.755202,0.336252,731
RF00025,mafft,0.443582,0.18668,0.369738,0.23231,0.869375,0.812196,0.737143,0.3,276
RF00027,mafft,0.63444,0.197266,0.168294,0.210947,0.693724,0.905526,0.6875,0.533802,96
RF00028,mafft,0.33881,0.182381,0.47881,0.200278,0.927783,0.623825,0.753934,0.181623,700
RF00029,mafft,0.287595,0.169151,0.543254,-0.059129,0.872008,0.67813,0.770444,0.201668,194
RF00032,mafft,0.559583,0.364583,0.075833,-0.252863,0.940851,0.873544,0.611915,0.439439,48
RF00033,mafft,0.893617,0.085106,0.021277,0.729305,1.0,0.989727,0.884409,0.792553,94
RF00034,mafft,0.720648,0.22807,0.051282,0.246384,0.75786,0.901518,0.674609,0.620783,114
RF00035,mafft,0.894737,0.066667,0.038596,0.838175,1.0,0.987192,0.897345,0.837719,114
RF00036,mafft,0.974796,0.018416,0.006787,0.912666,0.814286,0.995327,0.961107,0.961256,340
RF00037,mafft,0.797519,0.15463,0.047851,0.398032,0.466599,0.911765,0.736339,0.727514,37
RF00038,mafft,0.875421,0.09697,0.027609,0.705273,0.914039,0.98027,0.841927,0.823973,135
RF00039,mafft,0.788889,0.162963,0.048148,0.497187,0.85,0.972025,0.803774,0.65,54
RF00040,mafft,0.645685,0.175376,0.178939,0.440418,0.961121,0.869115,0.722222,0.497546,421
RF00041,mafft,0.806083,0.083942,0.109976,0.657317,0.810205,0.947496,0.83027,0.755883,137
RF00042,mafft,0.831735,0.136588,0.031677,0.531887,0.246681,0.953725,0.779965,0.770835,93
RF00043,mafft,0.814145,0.149671,0.036184,0.506248,0.846401,0.92473,0.791667,0.717575,76
RF00046,mafft,0.930556,0.067708,0.001736,0.748118,0.0,1.0,0.929825,0.867361,96
RF00047,mafft,0.644665,0.239828,0.115506,0.029048,0.627037,0.906213,0.670101,0.552639,79
RF00048,mafft,0.858314,0.141686,0.0,0.560441,0.0,0.970797,0.802083,0.81716,61
RF00051,mafft,0.59694,0.215199,0.187862,0.026249,0.697451,0.854316,0.666368,0.49608,92
RF00053,mafft,0.608809,0.20863,0.182561,0.057298,0.743009,0.874913,0.719697,0.510781,102
RF00054,mafft,0.734929,0.143617,0.121454,0.525673,0.927816,0.906388,0.786738,0.60735,94
RF00055,mafft,0.610043,0.232906,0.157051,0.19393,0.809436,0.840656,0.662352,0.453526,104
RF00056,mafft,0.813571,0.129643,0.056786,0.442579,0.718711,0.961424,0.751259,0.728223,140
RF00059,mafft,0.241819,0.134161,0.62402,0.03972,0.823339,0.711512,0.78579,0.184654,282
RF00060,mafft,0.844444,0.118519,0.037037,0.656075,1.0,0.917889,0.76306,0.740741,135
RF00061,mafft,0.893808,0.035479,0.070713,0.848454,0.97095,0.986334,0.931108,0.843177,356
RF00062,mafft,0.655294,0.135294,0.209412,0.580764,0.980412,0.94187,0.786982,0.501176,170
RF00063,mafft,0.814433,0.17732,0.008247,0.492962,0.0,0.936093,0.783333,0.704124,97
RF00064,mafft,0.749831,0.181695,0.068475,0.435532,0.950902,0.945108,0.748299,0.60339,295
RF00065,mafft,0.87218,0.088722,0.039098,0.728958,0.73165,0.954601,0.84697,0.803759,133
RF00067,mafft,0.645674,0.238773,0.115553,0.19444,0.839987,0.871775,0.669421,0.52322,166
RF00069,mafft,0.591737,0.172269,0.235994,0.345043,0.849031,0.832381,0.698727,0.479099,102
RF00072,mafft,0.743056,0.195602,0.061343,0.37062,0.7678,0.885999,0.70979,0.612037,144
RF00073,mafft,0.695192,0.160577,0.144231,0.413215,0.798462,0.874796,0.766019,0.583547,104
RF00075,mafft,0.375555,0.183042,0.441403,-0.001967,0.932299,0.922946,0.799911,0.27734,218
RF00076,mafft,0.602732,0.195023,0.202246,0.258657,0.724719,0.904713,0.714437,0.516368,97
RF00078,mafft,0.638569,0.127956,0.233475,0.482558,0.761399,0.839901,0.727941,0.548135,97
RF00079,mafft,0.730487,0.154729,0.114784,0.458911,0.81125,0.946121,0.75,0.653548,99
RF00080,mafft,0.474269,0.196578,0.329154,0.178828,0.855398,0.822647,0.732529,0.355062,264
RF00081,mafft,0.833834,0.133133,0.033033,0.500721,0.61253,0.97113,0.80404,0.735736,111
RF00082,mafft,0.724702,0.172619,0.102679,0.455132,0.876493,0.93759,0.727001,0.601438,192
RF00083,mafft,0.729776,0.119143,0.151081,0.548955,0.840608,0.936635,0.764977,0.650143,249
RF00084,mafft,0.872093,0.112403,0.015504,0.684178,1.0,0.937929,0.820039,0.784238,258
RF00086,mafft,0.73494,0.137048,0.128012,0.528416,0.742233,0.887609,0.728659,0.626076,83
RF00087,mafft,0.819853,0.116912,0.063235,0.544243,0.601626,0.95525,0.789278,0.74421,80
RF00088,mafft,0.815132,0.101974,0.082895,0.562365,0.571561,0.951205,0.801333,0.742036,76
RF00089,mafft,0.761134,0.138664,0.100202,0.404815,0.57179,0.921337,0.742564,0.666802,76
RF00090,mafft,0.789583,0.117045,0.093371,0.500098,0.723304,0.943211,0.732686,0.703969,220
RF00091,mafft,0.765415,0.160524,0.074061,0.46766,0.668201,0.930581,0.711586,0.684754,166
RF00092,mafft,0.841667,0.112037,0.046296,0.607332,0.808947,0.945142,0.786381,0.752646,135
