family,tool,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength
RF00009,mafft,0.219299,0.116133,0.664569,0.121321,0.857141,0.714866,0.833839,0.143225,935
RF00024,mafft,0.446778,0.161497,0.391726,0.195508,0.856324,0.842765,0.755202,0.336252,731
RF00026,mafft,0.386248,0.102386,0.511367,0.216422,0.78193,0.835301,0.790193,0.32176,219
RF00027,mafft,0.63444,0.197266,0.168294,0.210947,0.693724,0.905526,0.6875,0.533802,96
RF00032,mafft,0.559583,0.364583,0.075833,-0.252863,0.940851,0.873544,0.611915,0.439439,48
RF00034,mafft,0.720648,0.22807,0.051282,0.246384,0.75786,0.901518,0.674609,0.620783,114
RF00044,mafft,0.976667,0.008333,0.015,0.965285,1.0,0.99301,0.986555,0.963333,120
RF00045,mafft,0.588375,0.132481,0.279144,0.425305,0.811071,0.832567,0.688041,0.494239,281
RF00052,mafft,0.785417,0.1625,0.052083,0.502349,1.0,0.932076,0.78903,0.650833,80
RF00053,mafft,0.608809,0.20863,0.182561,0.057298,0.743009,0.874913,0.719697,0.510781,102
RF00062,mafft,0.655294,0.135294,0.209412,0.580764,0.980412,0.94187,0.786982,0.501176,170
RF00070,mafft,0.654839,0.132258,0.212903,0.579392,1.0,0.858708,0.75,0.528793,93
RF00071,mafft,0.696092,0.115402,0.188506,0.559461,0.757602,0.910429,0.763256,0.629464,87
RF00074,mafft,0.540147,0.188387,0.271467,0.124776,0.697863,0.838972,0.730479,0.478199,94
RF00085,mafft,0.74375,0.120455,0.135795,0.483477,0.86797,0.91455,0.748276,0.65323,88
RF00097,mafft,0.889259,0.101111,0.00963,0.518128,0.0,0.995653,0.840374,0.811296,108
RF00104,mafft,0.699719,0.226793,0.073488,0.236093,0.656718,0.925861,0.661325,0.614185,79
RF00110,mafft,0.845679,0.12963,0.024691,0.57403,0.804554,0.923619,0.795312,0.765432,81
RF00111,mafft,0.73369,0.151337,0.114973,0.410839,0.789655,0.947226,0.763627,0.631417,110
RF00124,mafft,0.91401,0.076329,0.009662,0.794583,0.5,0.984595,0.869903,0.866184,207
RF00128,mafft,0.761286,0.155267,0.083447,0.447484,0.907706,0.919615,0.736842,0.676171,172
RF00136,mafft,0.777376,0.092459,0.130165,0.547939,0.719389,0.963631,0.818182,0.696773,88
RF00138,mafft,0.841584,0.128713,0.029703,0.637108,0.93425,0.950761,0.814,0.749505,101
RF00144,mafft,0.79939,0.099434,0.101176,0.575165,0.832568,0.935813,0.838231,0.723734,83
RF00147,mafft,0.618541,0.180851,0.200608,0.35467,0.869668,0.743374,0.65745,0.515431,94
RF00156,mafft,0.74932,0.126246,0.124434,0.472293,0.762275,0.933808,0.726098,0.669335,154
RF00159,mafft,0.876471,0.088235,0.035294,0.711268,1.0,0.942628,0.831349,0.804706,85
RF00163,mafft,0.381579,0.070086,0.548335,0.705178,0.962353,0.849953,0.868506,0.223853,133
RF00173,mafft,0.873077,0.111538,0.015385,0.703999,1.0,0.980994,0.8,0.8,52
RF00180,mafft,0.902287,0.085239,0.012474,0.721686,0.433013,1.0,0.852564,0.848579,37
RF00181,mafft,0.525121,0.142857,0.332022,0.361266,0.79464,0.878515,0.737212,0.429845,112
RF00182,mafft,0.856061,0.125758,0.018182,0.674005,0.710557,0.926353,0.798165,0.787273,110
RF00186,mafft,0.793327,0.088044,0.118628,0.610272,0.510818,0.928419,0.799719,0.735162,83
RF00191,mafft,0.813116,0.125986,0.060897,0.486561,0.760637,0.963711,0.743672,0.723945,156
RF00200,mafft,0.657128,0.08691,0.255962,0.693672,0.95535,0.872939,0.789305,0.588567,111
RF00202,mafft,0.852564,0.096154,0.051282,0.771504,1.0,0.867144,0.787879,0.794872,78
RF00206,mafft,0.661094,0.203141,0.135765,0.299794,0.72953,0.85774,0.708141,0.571125,94
