family,tool,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength
RF00002,mafft,0.57577,0.166733,0.257497,0.289514,0.834456,0.91293,0.710222,0.483926,205
RF00003,mafft,0.606946,0.192463,0.200591,0.208493,0.67596,0.854244,0.665693,0.515449,203
RF00004,mafft,0.38253,0.158608,0.458862,-0.079528,0.752943,0.763058,0.740921,0.296541,352
RF00005,mafft,0.150655,0.121266,0.728079,-0.151106,0.686146,0.325752,0.762807,0.103587,270
RF00006,mafft,0.359803,0.165882,0.474315,0.049574,0.851349,0.900855,0.769849,0.279427,192
RF00010,mafft,0.192365,0.085724,0.72191,-0.025812,0.779747,0.713851,0.833364,0.148178,1368
RF00011,mafft,0.466761,0.160485,0.372754,0.139409,0.796606,0.860917,0.741124,0.394967,586
RF00012,mafft,0.562696,0.228884,0.20842,-0.040692,0.813368,0.863796,0.685634,0.443454,264
RF00014,mafft,0.908046,0.075862,0.016092,0.762902,1.0,0.978375,0.848837,0.842529,87
RF00016,mafft,0.58874,0.153244,0.258016,0.320599,0.85766,0.803357,0.75488,0.456683,149
RF00017,mafft,0.701253,0.191906,0.106841,0.269236,0.839206,0.920155,0.694492,0.603452,328
RF00019,mafft,0.556677,0.148768,0.294556,0.35597,0.758743,0.835817,0.666667,0.451129,142
RF00020,mafft,0.303279,0.163591,0.53313,0.171761,0.760104,0.755559,0.741609,0.23567,251
RF00021,mafft,0.720939,0.126846,0.152215,0.568331,0.620856,0.915619,0.750953,0.649586,139
RF00022,mafft,0.545455,0.162264,0.292282,0.311933,0.84111,0.875357,0.724366,0.42224,286
RF00023,mafft,0.201573,0.114944,0.683483,-0.062405,0.767483,0.572857,0.807221,0.132481,1131
RF00025,mafft,0.443582,0.18668,0.369738,0.23231,0.869375,0.812196,0.737143,0.3,276
RF00028,mafft,0.33881,0.182381,0.47881,0.200278,0.927783,0.623825,0.753934,0.181623,700
RF00029,mafft,0.287595,0.169151,0.543254,-0.059129,0.872008,0.67813,0.770444,0.201668,194
RF00035,mafft,0.894737,0.066667,0.038596,0.838175,1.0,0.987192,0.897345,0.837719,114
RF00036,mafft,0.974796,0.018416,0.006787,0.912666,0.814286,0.995327,0.961107,0.961256,340
RF00037,mafft,0.797519,0.15463,0.047851,0.398032,0.466599,0.911765,0.736339,0.727514,37
RF00038,mafft,0.875421,0.09697,0.027609,0.705273,0.914039,0.98027,0.841927,0.823973,135
RF00039,mafft,0.788889,0.162963,0.048148,0.497187,0.85,0.972025,0.803774,0.65,54
RF00040,mafft,0.645685,0.175376,0.178939,0.440418,0.961121,0.869115,0.722222,0.497546,421
RF00041,mafft,0.806083,0.083942,0.109976,0.657317,0.810205,0.947496,0.83027,0.755883,137
RF00042,mafft,0.831735,0.136588,0.031677,0.531887,0.246681,0.953725,0.779965,0.770835,93
RF00043,mafft,0.814145,0.149671,0.036184,0.506248,0.846401,0.92473,0.791667,0.717575,76
RF00047,mafft,0.644665,0.239828,0.115506,0.029048,0.627037,0.906213,0.670101,0.552639,79
RF00048,mafft,0.858314,0.141686,0.0,0.560441,0.0,0.970797,0.802083,0.81716,61
RF00049,mafft,0.575136,0.211252,0.213612,0.095066,0.690515,0.790342,0.658291,0.46687,95
RF00050,mafft,0.381627,0.137431,0.480942,0.21403,0.883433,0.908137,0.816302,0.329511,262
