family,tool,Filename,Match,Mismatch,Gap,IC,GapAC,LFPR,FlipScore,MeanPairwiseID,AlignmentLength,sp
RF00001,mafft,RF00001_mafft.fasta,0.251826,0.119452,0.628722,0.272885,0.707357,0.651067,0.728499,0.197183,314,0.7242204235281089
RF00002,mafft,RF00002_mafft.fasta,0.57577,0.166733,0.257497,0.289514,0.834456,0.91293,0.710222,0.483926,205,0.9071326171547728
RF00003,mafft,RF00003_mafft.fasta,0.606946,0.192463,0.200591,0.208493,0.67596,0.854244,0.665693,0.515449,203,0.8216199959045767
RF00004,mafft,RF00004_mafft.fasta,0.38253,0.158608,0.458862,-0.079528,0.752943,0.763058,0.740921,0.296541,352,0.6441691026714788
RF00005,mafft,RF00005_mafft.fasta,0.150655,0.121266,0.728079,-0.151106,0.686146,0.325752,0.762807,0.103587,270,0.7010475949526754
RF00006,mafft,RF00006_mafft.fasta,0.359803,0.165882,0.474315,0.049574,0.851349,0.900855,0.769849,0.279427,192,0.7993825259778383
RF00007,mafft,RF00007_mafft.fasta,0.465169,0.161918,0.372913,0.09811,0.832237,0.810313,0.752079,0.363341,257,0.6714874779100695
RF00008,mafft,RF00008_mafft.fasta,0.506162,0.15014,0.343697,0.346989,0.918699,0.87933,0.756768,0.412282,84,0.8063070034823946
RF00009,mafft,RF00009_mafft.fasta,0.219299,0.116133,0.664569,0.121321,0.857141,0.714866,0.833839,0.143225,935,0.4674237977081349
RF00010,mafft,RF00010_mafft.fasta,0.192365,0.085724,0.72191,-0.025812,0.779747,0.713851,0.833364,0.148178,1368,0.7573773141155212
RF00011,mafft,RF00011_mafft.fasta,0.466761,0.160485,0.372754,0.139409,0.796606,0.860917,0.741124,0.394967,586,0.8819783950375858
RF00012,mafft,RF00012_mafft.fasta,0.562696,0.228884,0.20842,-0.040692,0.813368,0.863796,0.685634,0.443454,264,0.7263457100238835
RF00013,mafft,RF00013_mafft.fasta,0.358662,0.274343,0.366995,-0.286719,0.690137,0.671263,0.621932,0.25359,284,0.5541879012830273
RF00014,mafft,RF00014_mafft.fasta,0.908046,0.075862,0.016092,0.762902,1.0,0.978375,0.848837,0.842529,87,0.8783943329397875
RF00015,mafft,RF00015_mafft.fasta,0.34993,0.153047,0.497023,0.017677,0.803098,0.825584,0.772812,0.27211,286,0.74569422243669
RF00016,mafft,RF00016_mafft.fasta,0.58874,0.153244,0.258016,0.320599,0.85766,0.803357,0.75488,0.456683,149,0.7180955040491482
RF00017,mafft,RF00017_mafft.fasta,0.701253,0.191906,0.106841,0.269236,0.839206,0.920155,0.694492,0.603452,328,0.9216315518990942
RF00018,mafft,RF00018_mafft.fasta,0.654861,0.165325,0.179814,0.358408,0.85788,0.909428,0.72958,0.558949,425,0.8440443368669938
RF00019,mafft,RF00019_mafft.fasta,0.556677,0.148768,0.294556,0.35597,0.758743,0.835817,0.666667,0.451129,142,0.6608701739359599
RF00020,mafft,RF00020_mafft.fasta,0.303279,0.163591,0.53313,0.171761,0.760104,0.755559,0.741609,0.23567,251,0.6657055806059308
RF00021,mafft,RF00021_mafft.fasta,0.720939,0.126846,0.152215,0.568331,0.620856,0.915619,0.750953,0.649586,139,0.8634992072827699
RF00022,mafft,RF00022_mafft.fasta,0.545455,0.162264,0.292282,0.311933,0.84111,0.875357,0.724366,0.42224,286,0.6095021203078372
RF00023,mafft,RF00023_mafft.fasta,0.201573,0.114944,0.683483,-0.062405,0.767483,0.572857,0.807221,0.132481,1131,0.4477084308368522
RF00024,mafft,RF00024_mafft.fasta,0.446778,0.161497,0.391726,0.195508,0.856324,0.842765,0.755202,0.336252,731,0.658761158375592
RF00025,mafft,RF00025_mafft.fasta,0.443582,0.18668,0.369738,0.23231,0.869375,0.812196,0.737143,0.3,276,0.4206828849280609
RF00026,mafft,RF00026_mafft.fasta,0.386248,0.102386,0.511367,0.216422,0.78193,0.835301,0.790193,0.32176,219,0.814924290005423
RF00027,mafft,RF00027_mafft.fasta,0.63444,0.197266,0.168294,0.210947,0.693724,0.905526,0.6875,0.533802,96,0.8442100081816186
RF00028,mafft,RF00028_mafft.fasta,0.33881,0.182381,0.47881,0.200278,0.927783,0.623825,0.753934,0.181623,700,0.3483196800619235
RF00029,mafft,RF00029_mafft.fasta,0.287595,0.169151,0.543254,-0.059129,0.872008,0.67813,0.770444,0.201668,194,0.7293847031199722
RF00030,mafft,RF00030_mafft.fasta,0.219915,0.123056,0.657029,0.08426,0.904327,0.749293,0.840602,0.138498,937,0.4963450208991781
RF00031,mafft,RF00031_mafft.fasta,0.399102,0.368267,0.232631,-0.441998,0.704574,0.52945,0.590559,0.300969,84,0.6316240472646913
RF00032,mafft,RF00032_mafft.fasta,0.559583,0.364583,0.075833,-0.252863,0.940851,0.873544,0.611915,0.439439,48,0.8084467186106912
RF00033,mafft,RF00033_mafft.fasta,0.893617,0.085106,0.021277,0.729305,1.0,0.989727,0.884409,0.792553,94,0.8595505617977528
RF00034,mafft,RF00034_mafft.fasta,0.720648,0.22807,0.051282,0.246384,0.75786,0.901518,0.674609,0.620783,114,0.6055481202092712
RF00035,mafft,RF00035_mafft.fasta,0.894737,0.066667,0.038596,0.838175,1.0,0.987192,0.897345,0.837719,114,0.9382600561272216
RF00036,mafft,RF00036_mafft.fasta,0.974796,0.018416,0.006787,0.912666,0.814286,0.995327,0.961107,0.961256,340,0.998791622678118
RF00037,mafft,RF00037_mafft.fasta,0.797519,0.15463,0.047851,0.398032,0.466599,0.911765,0.736339,0.727514,37,0.9188662196223902
RF00038,mafft,RF00038_mafft.fasta,0.875421,0.09697,0.027609,0.705273,0.914039,0.98027,0.841927,0.823973,135,0.9106192210703278
RF00039,mafft,RF00039_mafft.fasta,0.788889,0.162963,0.048148,0.497187,0.85,0.972025,0.803774,0.65,54,0.842741935483871
RF00040,mafft,RF00040_mafft.fasta,0.645685,0.175376,0.178939,0.440418,0.961121,0.869115,0.722222,0.497546,421,0.7374681393372983
RF00041,mafft,RF00041_mafft.fasta,0.806083,0.083942,0.109976,0.657317,0.810205,0.947496,0.83027,0.755883,137,0.946140475663352
RF00042,mafft,RF00042_mafft.fasta,0.831735,0.136588,0.031677,0.531887,0.246681,0.953725,0.779965,0.770835,93,0.9454455479335176
RF00043,mafft,RF00043_mafft.fasta,0.814145,0.149671,0.036184,0.506248,0.846401,0.92473,0.791667,0.717575,76,0.9151606425702812
RF00044,mafft,RF00044_mafft.fasta,0.976667,0.008333,0.015,0.965285,1.0,0.99301,0.986555,0.963333,120,1.0
RF00045,mafft,RF00045_mafft.fasta,0.588375,0.132481,0.279144,0.425305,0.811071,0.832567,0.688041,0.494239,281,0.8767439880612562
RF00046,mafft,RF00046_mafft.fasta,0.930556,0.067708,0.001736,0.748118,0.0,1.0,0.929825,0.867361,96,1.0
